length,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,star,hotness
202772,0.774,0.00427,0.792,1.15e-06,0.283,-4.019,0.224,98.1,4,False,4.0
192830,0.834,0.0895,0.917,0.000167,0.0532,-2.838,0.0982,129.981,4,False,3.0
196853,0.693,0.617,0.844,0.0,0.572,-2.257,0.0578,110.012,3,False,3.0
210478,0.621,0.0194,0.873,0.0,0.488,-2.888,0.103,169.91,4,False,3.0
210641,0.787,0.0233,0.543,0.0,0.0861,-6.7,0.037,99.026,4,False,4.0
206350,0.857,0.289,0.6,0.0,0.0607,-4.712,0.0705,120.023,4,False,3.0
201111,0.711,0.0044,0.885,0.0,0.207,-3.299,0.0477,121.978,4,False,3.0
195000,0.673,0.0582,0.782,1.4e-06,0.391,-3.911,0.0404,121.991,4,False,3.0
212136,0.633,0.317,0.907,0.0,0.221,-1.459,0.048,130.001,4,False,4.0
194120,0.617,0.0307,0.922,0.0,0.312,-4.023,0.329,108.382,4,False,3.0
194407,0.794,0.266,0.835,0.0,0.0979,-2.043,0.0961,101.039,4,False,1.0
211972,0.711,0.126,0.928,0.0,0.335,-1.666,0.0484,114.012,4,False,3.0
202040,0.732,0.0774,0.934,0.00745,0.306,-4.618,0.144,159.998,4,False,3.0
189077,0.595,0.0391,0.806,0.0,0.36,-4.644,0.141,93.126,4,False,3.0
183475,0.729,0.0292,0.913,0.0,0.104,-2.749,0.0781,99.966,4,False,3.0
213072,0.513,0.0631,0.867,0.0,0.34,-3.729,0.0632,149.967,4,False,4.0
183293,0.893,0.0138,0.77,0.0,0.225,-4.692,0.107,122.067,4,False,4.0
217737,0.726,0.0491,0.758,0.0,0.077,-3.324,0.178,88.999,4,False,3.0
193578,0.7,0.0148,0.873,0.0,0.343,-2.901,0.0869,99.972,4,False,1.0
226874,0.686,0.00421,0.884,0.000262,0.19,-4.835,0.0874,127.957,4,False,3.0
197462,0.774,0.113,0.8,0.0,0.0782,-3.426,0.0472,103.977,4,False,3.0
218993,0.699,0.0868,0.907,0.0,0.115,-1.208,0.0544,115.978,4,False,4.0
209746,0.742,0.00117,0.847,8.49e-06,0.142,-2.763,0.0485,112.95,4,False,3.0
178565,0.724,0.116,0.976,1.3e-05,0.352,-3.279,0.0602,110.006,4,False,3.0
189882,0.714,0.00189,0.812,1.96e-06,0.229,-2.703,0.0351,112.018,4,False,4.0
219809,0.823,0.19,0.837,0.0,0.28,-4.533,0.0582,107.989,4,False,3.0
205611,0.498,0.0615,0.917,0.0,0.358,-1.797,0.164,112.357,5,False,4.0
197076,0.744,0.134,0.858,0.0,0.438,-3.015,0.0922,101.929,4,False,3.0
208474,0.725,0.115,0.94,0.00431,0.0864,-2.32,0.0435,127.051,4,False,4.0
197544,0.71,0.193,0.965,0.0,0.328,-3.577,0.091,119.034,4,False,3.0
183019,0.827,0.0214,0.739,4.13e-06,0.043,-6.391,0.0744,95.999,4,False,4.0
226875,0.685,0.029,0.935,0.00483,0.519,-2.056,0.125,128.024,4,False,3.0
199563,0.709,0.0406,0.867,0.0,0.275,-3.258,0.0672,120.022,4,False,3.0
211013,0.692,0.284,0.886,0.0,0.341,-2.519,0.0519,100.03,4,False,4.0
225302,0.579,0.0282,0.927,0.0,0.283,-3.262,0.181,144.951,4,False,3.0
190821,0.728,0.04,0.801,0.0,0.0415,-4.428,0.0439,123.953,4,False,4.0
231859,0.593,0.00174,0.945,0.0,0.923,-3.408,0.126,110.023,4,True,4.0
202543,0.778,0.0334,0.789,2.05e-06,0.225,-4.297,0.0503,145.99,4,False,4.0
197980,0.523,0.106,0.864,0.000454,0.0672,-4.746,0.359,142.11,4,False,3.0
209648,0.806,0.331,0.707,0.0,0.294,-4.623,0.0307,118.009,4,False,4.0
198420,0.703,0.32,0.923,0.0,0.367,-0.962,0.148,100.038,4,False,3.0
221371,0.564,0.0952,0.867,0.0,0.737,-3.137,0.0881,154.882,4,False,3.0
189846,0.791,0.0114,0.789,0.0,0.301,-4.694,0.104,112.11,4,False,3.0
191440,0.58,0.0318,0.935,0.0,0.0977,-3.348,0.189,172.023,4,False,4.0
210102,0.705,0.0632,0.967,0.0,0.15,-1.609,0.0692,122.0,4,False,3.0
168918,0.63,0.0813,0.868,0.0,0.0782,-3.472,0.157,141.905,4,False,3.0
207777,0.615,0.0702,0.879,0.0,0.0581,-3.275,0.0377,105.026,4,False,3.0
245192,0.745,0.000875,0.825,0.000221,0.0828,-3.162,0.0352,94.998,4,False,4.0
205820,0.709,0.059,0.718,0.0,0.167,-3.315,0.0312,104.971,4,False,4.0
186649,0.533,0.00281,0.851,1.57e-06,0.14,-3.435,0.201,203.802,4,False,4.0
224257,0.754,0.129,0.788,0.00274,0.0775,-3.175,0.0322,124.992,4,False,4.0
244463,0.729,0.0185,0.88,0.0,0.0574,-3.712,0.0458,127.987,4,False,3.0
179053,0.646,0.0453,0.897,0.0,0.114,-2.057,0.193,162.017,4,False,3.0
206500,0.633,0.0437,0.915,0.0,0.107,-2.347,0.106,128.033,4,False,4.0
220986,0.727,0.323,0.871,6.21e-06,0.725,-3.099,0.158,121.438,4,False,3.0
226970,0.764,0.104,0.828,0.0,0.332,-4.375,0.0967,81.989,4,False,4.0
279423,0.639,0.0386,0.869,0.0,0.0709,-4.428,0.0496,128.066,4,False,3.0
207173,0.76,0.308,0.928,0.0,0.072,-3.645,0.215,131.985,4,False,3.0
201643,0.734,0.27,0.823,0.0,0.108,-3.888,0.089,103.991,4,False,3.0
235434,0.701,0.114,0.964,9.34e-06,0.153,-2.037,0.127,113.058,4,False,3.0
207053,0.681,0.145,0.814,0.0,0.556,-2.83,0.0603,89.993,4,False,4.0
209104,0.613,0.152,0.912,0.0,0.111,-2.464,0.0366,112.005,4,False,4.0
241701,0.731,0.0962,0.874,0.0,0.0498,-4.284,0.082,129.972,4,False,3.0
220099,0.74,0.106,0.908,0.0,0.0637,-2.668,0.0327,105.996,4,False,3.0
176973,0.68,0.103,0.922,0.0,0.0877,-1.215,0.121,125.014,4,False,5.0
186964,0.798,0.0202,0.697,0.0,0.259,-7.139,0.0891,90.031,4,False,4.0
180750,0.658,0.0364,0.9,0.0,0.0771,-3.479,0.264,156.096,4,False,4.0
177186,0.703,0.00379,0.709,5.43e-05,0.333,-4.169,0.0433,117.941,4,False,5.0
191038,0.475,0.0159,0.695,0.0,0.125,-5.919,0.102,100.009,4,False,4.0
178453,0.709,0.312,0.809,0.0,0.0899,-3.198,0.0541,111.01,4,False,4.0
168437,0.863,0.0508,0.62,0.00324,0.129,-7.167,0.135,103.971,4,False,4.0
184117,0.819,0.0367,0.55,0.0,0.0945,-6.57,0.0434,130.077,4,False,4.0
182757,0.581,0.154,0.8,0.0,0.0697,-2.613,0.411,119.872,5,False,4.0
179453,0.935,0.0192,0.849,0.0,0.0223,-3.047,0.0779,119.986,4,False,4.0
197586,0.765,0.0539,0.777,2.58e-06,0.338,-4.376,0.0399,111.944,4,False,4.0
168106,0.795,0.0361,0.859,0.0,0.0321,-2.994,0.0542,96.986,4,False,4.0
240440,0.57,0.115,0.974,0.000594,0.125,-0.173,0.325,171.958,4,False,4.0
174840,0.874,0.00942,0.6,0.0,0.126,-6.064,0.158,100.012,4,False,4.0
170805,0.604,0.0925,0.886,0.0,0.596,-3.523,0.061,127.098,4,False,4.0
174646,0.905,0.0299,0.962,0.0,0.0272,-3.197,0.0856,129.969,4,False,4.0
196670,0.692,0.0517,0.835,0.0,0.134,-4.978,0.0628,80.017,4,False,4.0
180066,0.811,0.236,0.648,0.0,0.0761,-3.684,0.0368,104.988,4,False,5.0
168227,0.831,0.161,0.554,6.12e-05,0.152,-9.998,0.218,140.026,4,False,4.0
202203,0.584,0.0558,0.836,0.0,0.0663,-4.925,0.079,104.973,4,False,4.0
191462,0.759,0.0103,0.886,2.04e-05,0.342,-3.067,0.187,102.065,4,False,4.0
211350,0.668,0.036,0.828,0.0,0.0932,-5.034,0.0739,140.042,4,False,4.0
178453,0.828,0.0617,0.731,0.0,0.048,-3.033,0.111,119.978,4,False,4.0
220716,0.716,0.486,0.638,0.0,0.0702,-6.87,0.0392,84.955,4,False,4.0
184601,0.738,0.458,0.67,0.0,0.361,-3.766,0.0439,138.055,4,False,4.0
215188,0.641,0.0509,0.489,0.0,0.071,-8.668,0.11,142.977,4,False,4.0
217322,0.522,0.016,0.916,0.0,0.149,-4.766,0.0786,122.046,4,False,4.0
194765,0.654,0.00559,0.707,0.0,0.0873,-5.661,0.0664,127.97,4,False,4.0
223746,0.57,0.241,0.784,0.0,0.106,-4.607,0.186,150.062,4,False,3.0
210253,0.412,0.0648,0.94,0.0,0.358,-2.171,0.215,157.964,4,False,4.0
199053,0.746,0.0112,0.765,0.0,0.0936,-4.41,0.0993,114.044,4,True,5.0
172936,0.39,0.0354,0.767,4.26e-06,0.0601,-3.918,0.293,200.263,4,False,1.0
205493,0.657,0.121,0.88,0.0,0.463,-3.672,0.102,150.084,4,False,4.0
199946,0.577,0.0429,0.922,0.0,0.0998,-2.382,0.126,96.093,4,False,2.0
187573,0.843,0.0637,0.794,0.00023,0.104,-3.013,0.146,160.005,4,False,4.0
183693,0.785,0.00122,0.907,3.11e-06,0.213,-2.657,0.0938,126.004,4,False,4.0
201120,0.781,0.0735,0.814,1.92e-05,0.0565,-2.437,0.1,124.028,4,False,4.0
200306,0.689,0.0702,0.678,0.0,0.0889,-4.287,0.119,145.883,4,False,4.0
172106,0.6,0.0642,0.713,0.0,0.142,-5.079,0.0592,72.999,4,False,4.0
210506,0.718,0.107,0.89,0.0,0.462,-3.798,0.0553,111.967,4,False,3.0
174933,0.52,0.0618,0.915,0.000946,0.0856,-2.862,0.103,90.069,4,False,4.0
191242,0.809,0.00795,0.911,0.000179,0.181,-4.41,0.0617,122.035,4,False,4.0
228613,0.636,0.0205,0.81,1.04e-05,0.596,-2.035,0.101,161.897,4,False,4.0
192093,0.838,0.0456,0.838,0.0,0.0887,-3.308,0.0897,95.019,4,False,4.0
182956,0.812,0.0465,0.761,0.000135,0.0601,-5.222,0.0812,130.032,4,False,5.0
192280,0.692,0.0457,0.881,4.45e-06,0.146,-2.563,0.0461,103.053,4,False,4.0
199013,0.572,0.0503,0.964,0.0,0.372,-1.949,0.123,129.979,4,False,4.0
172373,0.846,0.0823,0.814,0.00094,0.13,-4.685,0.149,140.055,4,False,4.0
167922,0.689,0.00776,0.771,0.0,0.521,-3.618,0.0548,157.052,4,False,4.0
174386,0.755,0.00988,0.87,0.0,0.0917,-2.414,0.0936,124.032,4,False,4.0
209105,0.71,0.00962,0.82,0.0,0.0871,-4.362,0.0836,112.005,4,False,4.0
169566,0.751,0.0861,0.642,0.0,0.0953,-5.165,0.087,95.045,4,False,4.0
210573,0.688,0.0474,0.909,1.35e-06,0.0674,-1.992,0.0624,97.097,4,False,4.0
221573,0.82,0.488,0.852,5.94e-06,0.0907,-2.567,0.166,109.036,4,False,4.0
242333,0.557,0.00267,0.719,0.0,0.306,-4.515,0.0371,77.502,4,True,4.0
199919,0.644,0.001,0.867,0.0,0.105,-4.18,0.0383,124.997,4,False,4.0
198053,0.808,0.0899,0.903,0.0,0.0816,-2.179,0.0729,120.044,4,False,4.0
194080,0.764,0.102,0.802,0.0,0.189,-4.217,0.0351,132.02,4,False,4.0
205373,0.634,0.00719,0.928,2.55e-06,0.0626,-1.609,0.0514,164.007,4,False,4.0
164441,0.759,0.00323,0.459,0.0,0.0906,-5.187,0.0948,109.997,4,True,4.0
199026,0.658,0.238,0.749,2.03e-06,0.272,-2.967,0.0634,128.909,4,False,4.0
196333,0.725,0.0643,0.886,0.0,0.0971,-2.21,0.037,97.035,4,False,3.0
210560,0.664,0.193,0.666,0.0,0.0854,-2.203,0.0446,139.987,4,False,4.0
233013,0.681,0.0306,0.847,0.0,0.0808,-2.462,0.0869,167.031,4,False,4.0
147240,0.852,0.0177,0.749,0.000133,0.0695,-6.218,0.0488,103.06,4,False,4.0
191695,0.605,0.313,0.805,0.0,0.659,-3.212,0.0641,148.298,4,False,4.0
208240,0.574,0.0987,0.909,0.0,0.264,-1.573,0.0658,169.966,4,False,4.0
235779,0.856,0.171,0.617,0.0,0.0857,-5.308,0.084,136.081,4,True,4.0
240793,0.661,0.00268,0.836,0.0,0.497,-3.164,0.059,124.952,4,False,4.0
212986,0.708,0.0525,0.852,0.00016,0.399,-4.398,0.0851,129.946,4,False,4.0
197288,0.706,0.0392,0.756,0.0,0.18,-4.405,0.0845,97.098,4,False,4.0
307675,0.606,0.0114,0.85,1.01e-06,0.206,-3.952,0.183,170.01,4,True,4.0
217051,0.584,0.0244,0.885,0.0,0.357,-3.571,0.104,92.9,4,True,4.0
208853,0.551,0.139,0.885,0.0,0.114,-1.489,0.124,172.95,4,False,4.0
223122,0.599,0.0217,0.775,0.0,0.0678,-4.018,0.0543,129.817,4,True,4.0
207040,0.463,0.212,0.883,0.0,0.213,-3.245,0.224,99.021,4,False,3.0
221813,0.531,0.0741,0.83,0.0,0.0993,-2.526,0.0446,101.903,4,False,4.0
230706,0.623,0.0497,0.8,0.0,0.0619,-5.819,0.0424,110.979,4,False,4.0
190859,0.68,0.0028,0.878,2.22e-05,0.336,-4.791,0.179,127.991,4,False,3.0
199873,0.79,0.00116,0.853,4.23e-05,0.329,-4.564,0.0665,124.998,4,False,1.0
197616,0.782,0.0159,0.808,4.33e-05,0.331,-3.139,0.0362,120.021,4,False,4.0
181975,0.76,0.00785,0.722,0.000326,0.116,-4.429,0.0908,120.055,4,False,3.0
208104,0.647,0.294,0.855,0.0,0.137,-2.944,0.037,144.867,4,False,3.0
203817,0.706,0.149,0.694,0.0,0.11,-5.555,0.0722,134.96,4,False,3.0
196946,0.771,0.104,0.842,0.0,0.267,-2.263,0.112,149.995,4,False,3.0
209355,0.671,0.0313,0.859,0.0,0.267,-3.922,0.0833,139.931,4,False,4.0
194426,0.839,0.241,0.617,0.0,0.3,-4.692,0.331,143.894,4,False,4.0
242333,0.557,0.00267,0.719,0.0,0.306,-4.515,0.0372,77.501,4,True,1.0
196018,0.616,0.315,0.833,0.0,0.175,-3.314,0.067,97.898,4,False,1.0
189325,0.682,0.0569,0.831,0.0,0.0927,-4.234,0.253,155.12,4,False,1.0
207173,0.613,0.0599,0.868,0.0,0.352,-2.792,0.143,165.133,4,False,3.0
194699,0.695,0.000371,0.832,0.000483,0.469,-3.455,0.0288,111.997,4,False,3.0
195004,0.682,0.245,0.888,0.0,0.0552,-3.25,0.267,91.966,4,False,2.0
193609,0.728,0.0307,0.821,0.0,0.0386,-3.129,0.0419,108.001,4,False,3.0
217706,0.733,0.237,0.801,0.0,0.287,-5.339,0.0765,133.998,4,False,3.0
171998,0.703,0.115,0.894,0.0,0.363,-3.52,0.281,104.043,4,True,3.0
222732,0.734,0.00481,0.855,0.0,0.123,-3.211,0.118,126.035,4,True,1.0
211236,0.58,0.656,0.773,0.0,0.112,-3.302,0.05,124.148,4,False,1.0
169566,0.752,0.0861,0.642,0.0,0.0953,-5.165,0.0869,95.043,4,False,4.0
199402,0.594,0.128,0.81,0.0,0.0324,-2.083,0.0531,123.752,4,False,3.0
224482,0.686,0.237,0.842,0.0,0.0683,-4.423,0.1,115.944,4,False,3.0
180800,0.709,0.106,0.861,4.73e-05,0.113,-2.905,0.0941,118.089,4,False,4.0
217486,0.727,0.015,0.888,0.0,0.113,-2.756,0.0881,129.993,4,False,1.0
203000,0.668,0.281,0.815,0.0,0.247,-2.883,0.216,143.764,4,False,4.0
199773,0.653,0.218,0.836,0.0,0.0507,-6.018,0.238,151.977,4,False,4.0
244089,0.733,0.0871,0.859,0.0,0.121,-3.773,0.0434,102.025,4,False,3.0
228682,0.72,0.0343,0.828,0.0,0.0747,-5.559,0.0612,139.928,4,False,4.0
188785,0.719,0.012,0.85,0.000239,0.114,-3.229,0.0317,150.059,4,False,3.0
239100,0.605,0.0414,0.949,0.0,0.0746,-2.907,0.0886,110.01,4,False,4.0
218614,0.77,0.0265,0.817,0.000103,0.084,-4.092,0.0339,139.979,4,True,4.0
208730,0.819,0.00767,0.844,0.00834,0.056,-3.739,0.038,127.997,4,False,4.0
229627,0.585,0.155,0.84,0.0,0.638,-3.349,0.0957,149.855,4,False,1.0
209986,0.585,0.23,0.568,0.0,0.138,-2.787,0.0271,94.874,4,False,1.0
226574,0.649,0.0325,0.626,0.0,0.369,-2.524,0.0783,176.185,4,False,1.0
225373,0.867,0.00822,0.783,0.00643,0.302,-2.25,0.0687,126.04,4,False,3.0
219302,0.625,0.821,0.45,0.0,0.111,-5.214,0.0339,130.109,4,False,3.0
240360,0.807,0.0837,0.782,0.0,0.0612,-3.659,0.0773,131.969,4,False,3.0
237138,0.711,0.0242,0.837,0.0,0.531,-4.277,0.038,125.075,4,False,1.0
248710,0.653,0.196,0.852,0.0,0.212,-2.746,0.0782,127.966,4,False,1.0
208680,0.778,0.0486,0.784,3.27e-06,0.0966,-2.521,0.043,129.945,4,False,1.0
234095,0.581,0.451,0.462,0.0,0.135,-6.331,0.0283,134.003,4,False,1.0
195905,0.567,0.21,0.776,0.0,0.145,-3.102,0.0323,136.831,4,False,1.0
239261,0.741,0.0447,0.896,0.0,0.389,-2.445,0.104,123.018,4,False,1.0
