name,album,artist,release_date,length,popularity,danceability,acousticness,danceability.1,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
Tramp - BBC In Concert 08/02/82,BBC in Concert (8th February 1982),The Stranglers,2009-12-04,177680,4,0.373,0.0222,0.373,0.975,0.0789,0.913,-7.718,0.0708,153.785,4
Big Thing Coming,The Story So Far,The Stranglers,2007-08-13,180493,0,0.468,0.00122,0.468,0.874,0.0752,0.0932,-6.009,0.0512,157.01,4
Norfolk Coast,The Story So Far,The Stranglers,2007-08-13,224440,0,0.374,0.000412,0.374,0.981,0.000392,0.191,-6.26,0.0748,157.951,4
Ultra Violet (Light My Way),Achtung Baby (Deluxe Edition),U2,1991-11-18,330506,55,0.481,0.000305,0.481,0.705,0.339,0.141,-11.101,0.0313,107.647,4
Magnificent,No Line On The Horizon,U2,2009-01-01,324013,55,0.529,0.00012,0.529,0.715,0.497,0.112,-6.065,0.0348,114.973,4
Breathe,No Line On The Horizon,U2,2009-01-01,300306,33,0.497,0.000296,0.497,0.869,0.0345,0.144,-5.217,0.0568,116.926,3
Gloria - Live,Under A Blood Red Sky (Remastered),U2,1983-08-20,287000,41,0.26,0.00371,0.26,0.948,0.0015,0.991,-6.149,0.0969,146.768,4
A Celebration - Remastered,October (Deluxe Edition Remastered),U2,1981-10-12,177493,24,0.217,0.204,0.217,0.84,1.05e-05,0.667,-8.164,0.0853,150.942,4
Belfast Child - Remastered 2002,Street Fighting Years,Simple Minds,1989-05-08,402173,58,0.163,0.341,0.163,0.51,0.0638,0.0945,-8.414,0.0415,162.086,4
Two Worlds Collide,Revenge of the Goldfish,Inspiral Carpets,1992-10-13,278493,19,0.473,0.00714,0.473,0.714,0.000146,0.263,-9.89,0.0324,106.022,4
Weakness,Island Head EP,Inspiral Carpets,1990-12-21,258306,1,0.277,0.0475,0.277,0.918,0.0522,0.0976,-5.42,0.0661,161.893,4
Happy Hour,London 0 Hull 4,The Housemartins,1986-01-01,145000,59,0.535,0.097,0.535,0.837,2.99e-06,0.189,-11.048,0.039,95.911,4
Oliver's Army,Armed Forces,Elvis Costello & The Attractions,1979,179613,0,0.523,0.137,0.523,0.735,0.0,0.199,-9.199,0.0292,143.182,4
Going Underground,Setting Sons (Super Deluxe),The Jam,1979-11-17,174506,0,0.319,0.00364,0.319,0.836,1.84e-05,0.1,-6.706,0.113,180.56,4
Town Called Malice,The Gift (Deluxe Edition),The Jam,1982-03-12,173706,0,0.552,0.00306,0.552,0.903,0.007,0.0632,-9.17,0.0716,101.672,4
Love Will Tear Us Apart,The Best Of,Joy Division,2008-03-20,206866,66,0.443,5.24e-05,0.443,0.956,0.825,0.135,-6.198,0.0511,146.754,4
I Don't Like Mondays,The Fine Art Of Surfacing,The Boomtown Rats,1979,259093,0,0.464,0.717,0.464,0.46,0.0,0.151,-6.874,0.0393,143.603,4
Atomic,Eat To The Beat,Blondie,1979-09-28,280324,61,0.596,0.0504,0.596,0.824,0.129,0.0586,-4.893,0.0361,135.171,4
Lust For Life,Lust For Life,Iggy Pop,1977-01-01,313800,39,0.2,0.0125,0.2,0.943,0.0,0.139,-8.217,0.0544,203.243,4
Baba O'Riley,Who's Next (Deluxe Edition),The Who,1971-08-14,300400,0,0.489,0.313,0.489,0.724,0.185,0.287,-8.367,0.0352,117.292,4
Life on Mars? - 2015 Remaster,Hunky Dory (2015 Remaster),David Bowie,1971-12-17,235986,71,0.445,0.635,0.445,0.384,7.74e-05,0.0539,-14.642,0.0417,123.295,4
Always on My Mind,Discography - Complete Singles Collection,Pet Shop Boys,1998-03-31,234906,74,0.533,0.0116,0.533,0.783,0.0565,0.186,-10.61,0.0366,124.874,4
Our House,The Rise & Fall,Madness,1982-10-08,203120,54,0.589,0.0884,0.589,0.715,0.00105,0.0559,-6.073,0.0401,120.999,4
Enjoy the Silence,The Singles 86-98,Depeche Mode,1998-09-28,255133,74,0.663,0.2,0.663,0.838,0.000177,0.0782,-5.744,0.0286,112.788,4
Common People - Full Length Version,Different Class,Pulp,1995-10-30,351626,70,0.314,0.0057,0.314,0.797,5.59e-05,0.0718,-9.026,0.038,145.393,4
Chasing Rainbows,Let It Ride,Shed Seven,1998-01-01,265133,0,0.202,0.0245,0.202,0.853,9.5e-05,0.143,-6.326,0.0475,100.625,4
The Only One I Know,Some Friendly,The Charlatans,1990-10-08,238120,0,0.543,0.0685,0.543,0.572,0.00119,0.0823,-13.124,0.0317,113.312,4
A Design for Life - Remastered,Everything Must Go 10th Anniversary Edition,Manic Street Preachers,1996-05-20,257640,54,0.184,0.000811,0.184,0.841,4.47e-05,0.0422,-4.723,0.0468,88.224,4
She's A Star,James: The Best Of,James,1998-01-01,220893,41,0.514,0.00864,0.514,0.77,0.0269,0.0948,-4.326,0.0314,110.489,4
Yes - Full Version,The Sound Of McAlmont And Butler,McAlmont & Butler,1995-01-01,293893,45,0.422,0.0244,0.422,0.776,0.0,0.143,-7.127,0.0381,109.796,4
Do You Remember The First Time?,His 'N' Hers,Pulp,1994-04-18,262573,0,0.401,0.0418,0.401,0.879,0.0,0.187,-7.011,0.0508,131.901,4
Something Changed,Different Class,Pulp,1995-10-30,198573,57,0.537,0.0226,0.537,0.675,0.0188,0.355,-8.332,0.0309,120.543,4
Rock ‘n’ Roll Star - Remastered,Definitely Maybe (Remastered) [Deluxe Edition Remastered],Oasis,1994-08-29,322946,0,0.314,0.000421,0.314,0.972,0.00129,0.407,-3.21,0.0701,138.223,4
Waking Up,Elastica,Elastica,1995-02-08,195600,0,0.455,0.00274,0.455,0.976,0.623,0.0566,-3.757,0.0801,137.895,4
Duchess,IV,The Stranglers,1980,149426,34,0.522,0.000909,0.522,0.695,0.00741,0.069,-11.77,0.0393,129.723,4
Crash,Best Of,The Primitives,1996-07-09,152200,51,0.369,0.0809,0.369,0.54,0.000149,0.76,-11.147,0.0321,170.004,4
Main Titles,Game of Thrones (Music from the HBO® Series - Season 6),Ramin Djawadi,2016-06-24,111208,58,0.194,0.176,0.194,0.695,0.893,0.12,-10.809,0.0578,170.684,3
We Didn't Start The Fire,The Bridge/Storm Front/The Nylon Curtain(3 Pak),Billy Joel,1982,287733,0,0.712,0.0771,0.712,0.967,0.0,0.356,-5.206,0.047,145.024,4
Love Really Hurts Without You,Here You Are: The Best of Billy Ocean,Billy Ocean,2016-04-29,178933,0,0.518,0.00201,0.518,0.905,4.67e-06,0.095,-3.846,0.034,140.989,4
Red Light Spells Danger,The Very Best of Billy Ocean,Billy Ocean,2010-04-26,210520,48,0.535,0.715,0.535,0.832,0.0,0.577,-5.166,0.0514,82.974,4
Down Down - Single Version,Classic,Status Quo,2009,229333,29,0.331,0.00559,0.331,0.853,0.00304,0.0973,-6.418,0.0344,90.274,4
Pictures of Matchstick Men,The Complete Pye Collection,Status Quo,2004-01-26,196453,7,0.241,0.0535,0.241,0.626,0.000872,0.0568,-5.732,0.0298,171.588,4
Champagne Supernova - Remastered,(What's The Story) Morning Glory? (Deluxe Edition) [Remastered],Oasis,1995-10-02,448438,0,0.286,0.47,0.286,0.796,0.063,0.364,-4.625,0.0388,150.272,4
The Shock Of The Lightning,Dig Out Your Soul,Oasis,2008-10-06,299946,43,0.335,4.13e-05,0.335,0.956,0.595,0.374,-2.375,0.089,136.904,4
Let Forever Be,Surrender,The Chemical Brothers,1999-01-01,236360,58,0.252,0.00912,0.252,0.872,8.79e-06,0.109,-3.752,0.0777,126.938,4
Xanadu,Xanadu - Original Motion Picture Soundtrack,Electric Light Orchestra,1980-06-01,208240,63,0.635,0.118,0.635,0.584,0.0,0.29,-9.112,0.0296,127.626,4
Take Over The World,Falcon,Courteeners,2010-01-01,224200,44,0.41,0.0033,0.41,0.722,0.00215,0.151,-6.758,0.0472,120.156,4
"Defying Gravity - From ""Wicked"" Original Broadway Cast Recording/2003",Wicked,Stephen Schwartz,2004-01-01,353920,54,0.333,0.722,0.333,0.377,0.0,0.0333,-8.282,0.0343,87.613,4
Eloise,The Light At The End Of The Tunnel,The Damned,1987-01-01,308000,42,0.271,0.191,0.271,0.674,2.62e-06,0.247,-10.18,0.0374,142.823,4
Make Your Own Kind of Music,The Architect (Zeitgeist Edition),Paloma Faith,2018-11-16,163840,53,0.567,0.00862,0.567,0.753,0.00183,0.127,-4.823,0.0406,120.098,4
Picking Up the Pieces,Fall To Grace (Deluxe),Paloma Faith,2012-10-19,244773,0,0.618,0.373,0.618,0.781,2.49e-06,0.322,-4.781,0.0544,135.971,4
Never Tear Us Apart,Fall To Grace (Deluxe),Paloma Faith,2012-10-19,185000,0,0.532,0.368,0.532,0.487,9.49e-05,0.148,-7.5,0.0264,96.335,3
Clocks,A Rush of Blood to the Head,Coldplay,2002-08-08,307879,84,0.577,0.599,0.577,0.749,0.0115,0.183,-7.215,0.0279,130.97,4
Black Star Dancing,Black Star Dancing,Noel Gallagher's High Flying Birds,2019-05-02,261826,0,0.632,0.000763,0.632,0.875,0.0224,0.108,-4.709,0.0359,118.007,4
This Is The Place,This Is The Place,Noel Gallagher's High Flying Birds,2019-08-05,257895,0,0.529,0.000833,0.529,0.935,0.0175,0.0753,-3.628,0.0394,117.997,4
In the Heat of the Moment,Chasing Yesterday,Noel Gallagher's High Flying Birds,2015-02-27,209480,0,0.545,1.04e-05,0.545,0.836,0.000129,0.413,-4.029,0.0281,105.924,4
The Changingman,Stanley Road,Paul Weller,1995-01-01,242133,48,0.632,0.0998,0.632,0.682,0.0349,0.106,-9.57,0.0269,113.837,4
Side,The Invisible Band,Travis,2001-06-12,239240,61,0.455,0.000493,0.455,0.849,1.52e-05,0.466,-5.461,0.0284,90.955,4
Local Boy In The Photograph,Word Gets Around - Deluxe Edition,Stereophonics,1997,201906,14,0.376,0.000866,0.376,0.95,0.0,0.156,-4.453,0.0754,130.669,4
Domino Dancing,Discography - Complete Singles Collection,Pet Shop Boys,1998-03-31,258333,65,0.645,0.0876,0.645,0.923,0.00359,0.0303,-9.781,0.0441,109.988,4
It's a Sin - 2018 Remaster,Actually: Further Listening 1987 - 1988 (2018 Remaster),Pet Shop Boys,1987-09-07,299253,68,0.544,0.206,0.544,0.86,0.00108,0.213,-6.151,0.0489,127.129,4
Left to My Own Devices - 2018 Remaster,Introspective: Further Listening 1988 - 1989 (2018 Remaster),Pet Shop Boys,1988-10-11,496706,33,0.612,0.000214,0.612,0.848,0.167,0.235,-5.902,0.0306,126.89,4
So Hard - 2018 Remaster,Behaviour: Further Listening 1990 - 1991 (2018 Remaster),Pet Shop Boys,1990-10-22,238386,47,0.561,0.00123,0.561,0.893,0.408,0.176,-7.663,0.038,119.863,4
Coup De Grace (S-O-S),Decades Apart,The Stranglers,2010-03-01,204400,0,0.491,0.00799,0.491,0.873,0.0371,0.168,-11.821,0.0334,113.462,4
(It's Not War) Just the End of Love,Postcards From A Young Man,Manic Street Preachers,2010-09-20,208053,36,0.538,7.8e-05,0.538,0.886,0.0254,0.21,-5.31,0.0309,138.993,4
Blinded By The Sun,Do It Yourself,The Seahorses,1997-01-01,277626,48,0.351,0.000744,0.351,0.701,7.91e-06,0.197,-7.578,0.0278,171.848,4
Dreamland (feat. Years & Years),Dreamland (feat. Years & Years),Pet Shop Boys,2019-09-11,208022,0,0.636,0.0248,0.636,0.736,7.55e-05,0.202,-6.053,0.0396,124.996,4
It Couldn't Happen Here - 2018 Remaster,Actually: Further Listening 1987 - 1988 (2018 Remaster),Pet Shop Boys,1987-09-07,321493,31,0.398,0.0512,0.398,0.712,0.202,0.117,-6.695,0.0473,119.959,4
Atmosphere,The Best Of,Joy Division,2008-03-20,250413,51,0.565,0.165,0.565,0.467,0.284,0.0808,-10.078,0.0303,120.17,4
November Rain,Greatest Hits,Guns N' Roses,2004-03-23,536960,0,0.249,0.0186,0.249,0.662,0.309,0.105,-8.305,0.0297,83.643,4
Praying for Time,Listen Without Prejudice Vol. 1,George Michael,1990-09-03,281066,0,0.578,0.061,0.578,0.682,0.00888,0.106,-13.64,0.0354,127.939,4
Mothers Pride - Remastered,Listen Without Prejudice / MTV Unplugged (Deluxe),George Michael,2017-10-20,239174,39,0.362,0.97,0.362,0.16,4.33e-05,0.119,-17.14,0.0292,158.261,4
"Heart / Go West - Live at The Royal Opera House, 2018","Inner Sanctum (Live at the Royal Opera House, 2018)",Pet Shop Boys,2019-04-12,479585,0,0.56,0.0597,0.56,0.953,2.75e-05,0.971,-6.557,0.078,120.991,4
Sign of the Times,Harry Styles,Harry Styles,2017-05-12,340706,85,0.516,0.0275,0.516,0.595,0.0,0.109,-4.63,0.0313,119.972,4
Surface To Air,Push The Button,The Chemical Brothers,2005-01-01,443226,41,0.607,0.0143,0.607,0.71,0.875,0.113,-5.633,0.0338,140.977,4
Heart as Big as Liverpool,Heart as Big as Liverpool,Pete Wylie & The Mighty WAH!,2000-03-20,313666,0,0.294,0.0504,0.294,0.712,2.36e-05,0.339,-5.456,0.029,86.248,4
Fire,West Ryder Pauper Lunatic Asylum,Kasabian,2009,252279,68,0.525,0.0874,0.525,0.742,0.149,0.117,-5.643,0.0311,117.029,4
Enola Gay - Remastered 2003,Organisation,Orchestral Manoeuvres In The Dark,1980-10-24,213693,70,0.559,0.00441,0.559,0.764,0.0299,0.0807,-7.058,0.0348,143.319,4
Will You?,Breaking Glass,Hazel O'Connor,1980-01-01,289266,47,0.467,0.449,0.467,0.289,0.000596,0.102,-16.345,0.0319,113.736,4
Eighth Day,Breaking Glass,Hazel O'Connor,1980-01-01,192666,36,0.419,0.232,0.419,0.595,0.0038,0.186,-14.202,0.0454,140.084,4
"It's a Sin - Live at the O2 Arena, London - 21 December 2009","Pandemonium (Live at the O2 Arena, London - 21 December 2009)",Pet Shop Boys,2010-02-12,303893,28,0.548,0.000535,0.548,0.975,0.00536,0.414,-4.224,0.0774,130.124,4
Can You Forgive Her? - 2001 Remaster,Very,Pet Shop Boys,1993-09-27,234266,0,0.513,0.0534,0.513,0.89,0.0,0.225,-5.451,0.05,173.329,3
Wandering Star,Wandering Star,Noel Gallagher's High Flying Birds,2019-11-14,218008,0,0.362,0.000294,0.362,0.846,0.00254,0.0982,-3.623,0.0262,78.514,4
stevie,48:13 (Deluxe),Kasabian,2014-11-14,284586,50,0.546,0.0322,0.546,0.855,0.000142,0.075,-4.934,0.0408,131.989,4
Turbo Lover - Remastered,Turbo 30 (Remastered 30th Anniversary Deluxe Edition),Judas Priest,2017-02-03,334000,51,0.55,0.176,0.55,0.878,8.59e-06,0.392,-7.021,0.0371,151.585,4
But it's Destiny,"Crash Landing on You (Original Television Soundtrack), Pt. 1",10cm,2019-12-15,231870,0,0.475,0.23,0.475,0.461,0.0,0.111,-6.289,0.0328,73.994,4
Lean on me,Hotel Del Luna OST Part.2,10cm,2019-07-20,210800,0,0.382,0.651,0.382,0.372,0.0,0.107,-6.738,0.031,124.046,4
Once Upon a Time / Secret Admirer,My Diary,Mocca,2002-04-20,240586,41,0.659,0.55,0.659,0.42,1.1e-06,0.0885,-10.347,0.0364,116.146,4
Terdiam,1st (Special Edition),MALIQ & D'Essentials,2016-02-19,238133,55,0.777,0.555,0.777,0.423,7.41e-06,0.27,-8.646,0.0287,101.966,4
Can’t Help Falling in Love,Crazy Rich Asians (Original Motion Picture Soundtrack),Various Artists,2018-08-10,201933,0,0.266,0.905,0.266,0.0596,7.07e-05,0.132,-18.515,0.0363,181.74,3
Use Somebody - Recorded at Spotify Studios NYC,Spotify Singles,Shawn Mendes,2018-11-14,176586,61,0.366,0.35,0.366,0.519,0.0,0.145,-6.066,0.0331,124.632,4
Untitled,1st (Special Edition),MALIQ & D'Essentials,2016-02-19,245400,66,0.821,0.609,0.821,0.241,0.0,0.0982,-9.881,0.0388,93.024,4
Kangen,1st (Special Edition),MALIQ & D'Essentials,2016-02-19,297560,47,0.752,0.509,0.752,0.576,0.000182,0.0964,-7.576,0.0762,78.058,4
I Like Me Better,Ysabelle,Ysabelle Cuevas,2017-11-14,189673,51,0.449,0.896,0.449,0.209,0.0,0.156,-14.494,0.0896,93.618,4
Rockabye - Acoustic Version,Rockabye (Acoustic),The Mayries,2016-12-22,157466,53,0.528,0.914,0.528,0.291,0.0,0.121,-9.696,0.0401,76.805,4
Buang Waktuku,Positive,Ecoutez,2008-01-01,233253,0,0.83,0.397,0.83,0.471,2.93e-05,0.118,-6.879,0.0421,109.0,4
Under Pressure,Under Pressure,Shawn Mendes,2018-09-25,233028,45,0.667,0.2,0.667,0.478,0.0,0.0927,-5.345,0.0316,113.502,4
Dancing in the Moonlight (feat. NEIMY),Dancing in the Moonlight (feat. NEIMY),Jubël,2018-06-22,164009,14,0.659,0.27,0.659,0.617,0.0,0.187,-5.862,0.0649,119.858,4
Affirmatiion,Play Pretty for the People,Adam Rafferty,2016-09-04,247813,26,0.696,0.73,0.696,0.16,0.818,0.101,-18.698,0.0465,111.654,4
Rock With You,I Remember Michael (A Michael Jackson Solo Guitar Tribute),Adam Rafferty,2011-08-01,195426,32,0.783,0.277,0.783,0.403,0.0393,0.246,-14.517,0.0535,122.41,4
"New Rules - Piano, Acoustic; Live",Live Acoustic EP,Dua Lipa,2017-12-08,209741,41,0.723,0.915,0.723,0.265,2.85e-05,0.126,-10.561,0.0433,116.026,4
Overjoyed,Gratitude,Adam Rafferty,2008-01-01,204773,30,0.485,0.871,0.485,0.194,0.567,0.111,-19.001,0.0362,88.214,4
Kangen - Piano Version,1st (Special Edition),MALIQ & D'Essentials,2016-02-19,285933,26,0.42,0.921,0.42,0.27,0.00999,0.104,-10.258,0.03,127.511,4
Brazil,Play Pretty for the People,Adam Rafferty,2016-09-04,197613,9,0.686,0.881,0.686,0.177,0.902,0.126,-17.422,0.0919,118.317,4
Castle on the Hill / Say You Won't Let Go,Castle on the Hill / Say You Won't Let Go,The George Twins,2017-03-03,206000,34,0.423,0.888,0.423,0.47,0.0,0.12,-4.656,0.0739,84.486,4
Lie To Me - Acoustic,Lie To Me (Acoustic),5 Seconds of Summer,2019-02-01,155476,46,0.653,0.147,0.653,0.493,0.0,0.0852,-6.392,0.0296,154.892,4
Nurlela,Wangi,Trio Lestari,2014-01-01,206626,0,0.718,0.602,0.718,0.673,0.00161,0.447,-7.127,0.259,157.933,4
Cintaku,Badai Pasti Berlalu,Various Artists,2007-01-22,286200,17,0.411,0.619,0.411,0.535,2.51e-06,0.151,-7.109,0.0371,100.096,4
Norwegian Wood,Gratitude,Adam Rafferty,2008-01-01,204253,27,0.273,0.658,0.273,0.256,0.307,0.0867,-17.397,0.0388,147.229,3
Imagine,Play Pretty for the People,Adam Rafferty,2016-09-04,204533,30,0.436,0.921,0.436,0.185,0.928,0.109,-18.975,0.059,139.624,4
Always Be My Baby,The Fifth,Mathew V,2018-04-06,236710,42,0.496,0.448,0.496,0.399,0.0,0.0769,-8.661,0.0446,139.584,4
Superstition,Gratitude,Adam Rafferty,2008-01-01,248773,16,0.72,0.57,0.72,0.206,0.84,0.0814,-15.516,0.106,96.74,4
Man In the Mirror,I Remember Michael (A Michael Jackson Solo Guitar Tribute),Adam Rafferty,2011-08-01,267666,16,0.64,0.753,0.64,0.341,0.889,0.101,-15.986,0.0422,103.633,4
Don't Wanna Know - Acoustic Version,Don't Wanna Know (Acoustic Version),The Mayries,2017-01-17,183472,42,0.438,0.706,0.438,0.448,0.0,0.159,-7.676,0.0666,118.37,5
Ain't No Sunshine,Gratitude,Adam Rafferty,2008-01-01,332173,13,0.508,0.65,0.508,0.173,0.113,0.0949,-14.1,0.0495,129.486,4
D (Half Moon),130 Mood : TRBL,DEAN,2016-03-25,229359,66,0.512,0.246,0.512,0.765,0.0,0.0573,-5.252,0.136,169.709,4
What 2 Do,130 Mood : TRBL,DEAN,2016-03-25,224098,63,0.632,0.249,0.632,0.531,0.0,0.346,-5.669,0.0333,95.061,4
I'll Be There,I Remember Michael (A Michael Jackson Solo Guitar Tribute),Adam Rafferty,2011-08-01,286720,17,0.389,0.863,0.389,0.214,0.783,0.105,-18.832,0.0455,162.187,4
Tinggal Bilang,Tinggal Bilang,Ricky Lionardi,2019-05-15,250865,0,0.422,0.591,0.422,0.331,4.13e-05,0.0868,-9.716,0.0338,112.484,3
Sabda Alam (Senandung Indonesia),Sabda Alam (Senandung Indonesia),Ricky Lionardi,2018-10-26,178267,0,0.525,0.685,0.525,0.409,0.0,0.17,-8.472,0.04,78.107,4
Wrecking Ball,Another Bundle of Tantrums,Jasmine Thompson,2014-04-20,238750,0,0.474,0.982,0.474,0.278,0.0,0.215,-7.078,0.0384,119.74,4
Demons,Another Bundle of Tantrums,Jasmine Thompson,2014-04-20,159790,0,0.353,0.885,0.353,0.345,3.33e-06,0.0763,-9.15,0.0406,178.283,4
In My Life,In My Life,Imaginary Future,2019-04-19,154290,0,0.401,0.861,0.401,0.0854,0.0,0.113,-15.775,0.0367,178.4,4
Can't Help Falling in Love,Can't Help Falling in Love,Haley Reinhart,2015-10-09,173500,0,0.406,0.951,0.406,0.0307,0.0,0.0984,-17.636,0.04,136.716,4
Memulai Kembali,Dandelion,Monita Tahalea,2015-12-01,231061,0,0.655,0.855,0.655,0.461,0.000337,0.0877,-9.693,0.0275,95.056,4
A Thousand Years,Another Bundle of Tantrums,Jasmine Thompson,2014-04-20,221978,0,0.47,0.894,0.47,0.188,0.0,0.102,-10.957,0.0346,104.492,4
Sweet Child O' Mine,Another Bundle of Tantrums,Jasmine Thompson,2014-04-20,221356,0,0.644,0.847,0.644,0.275,0.0,0.113,-12.888,0.0303,112.9,4
Closer,Closer,Ysabelle Cuevas,2016-12-13,178666,50,0.558,0.874,0.558,0.172,0.0,0.1,-13.379,0.0513,90.146,4
Still Got Time / There's Nothing Holdin' Me Back,Still Got Time / There's Nothing Holdin' Me Back,Megan Davies,2017-10-15,193513,28,0.736,0.81,0.736,0.281,0.0,0.404,-9.216,0.0413,110.846,4
Breathe Me,Another Bundle of Tantrums,Jasmine Thompson,2014-04-20,203375,0,0.319,0.896,0.319,0.291,7.23e-05,0.113,-10.35,0.0321,119.883,4
Bis Sekolah,Acoustic In Love,Margareth,2013-05-13,139426,23,0.792,0.451,0.792,0.486,1.12e-05,0.149,-4.883,0.0336,119.928,4
Candle In The Wind - 2018 Version,Revamp: The Songs Of Elton John & Bernie Taupin,Various Artists,2018-04-06,198777,61,0.549,0.732,0.549,0.449,0.0,0.117,-10.479,0.0455,76.028,5
Say Something,Another Bundle of Tantrums,Jasmine Thompson,2014-04-20,218879,0,0.405,0.939,0.405,0.196,0.0,0.109,-9.057,0.0327,134.83,3
Photograph (feat. Bea Miller),"Cover Collaborations, Vol. 3",Boyce Avenue,2015-06-23,260186,0,0.717,0.828,0.717,0.32,0.0,0.107,-8.393,0.0283,107.946,4
Manis dan Sayang,Acoustic In Love,Margareth,2013-05-13,191226,26,0.569,0.399,0.569,0.509,2.14e-05,0.121,-5.038,0.0258,85.996,4
All of Me,Another Bundle of Tantrums,Jasmine Thompson,2014-04-20,217500,0,0.636,0.91,0.636,0.381,0.0,0.0888,-7.784,0.0321,122.86,4
Let It Go,Let It Go,Colin & Caroline,2016-05-16,194129,13,0.46,0.861,0.46,0.319,0.0,0.118,-8.621,0.0356,145.765,4
Crazy - Live Sessions,Crazy (Live Sessions),Madilyn Bailey,2016-05-31,176067,51,0.517,0.919,0.517,0.25,0.0,0.101,-8.381,0.0355,102.631,4
봄이 좋냐?? What The Spring??,봄이 좋냐?? What The Spring??,10cm,2016-04-01,205751,0,0.866,0.597,0.866,0.37,0.0,0.117,-5.739,0.0327,94.018,4
Do You Think Of Me? 방에 모기가 있어,Do You Think Of Me? 방에 모기가 있어,10cm,2019-08-06,196293,0,0.669,0.348,0.669,0.379,0.0,0.0935,-4.019,0.104,88.652,4
Kapan-kapan,Acoustic In Love,Margareth,2013-05-13,203440,10,0.674,0.279,0.674,0.692,2.04e-05,0.197,-4.206,0.0273,129.039,4
Demons (feat. Jennel Garcia),"Cover Collaborations, Vol. 3",Boyce Avenue,2015-06-23,174174,0,0.678,0.747,0.678,0.351,0.0,0.355,-8.654,0.0265,90.029,4
Latch (feat. Lia Maria Johnson),"Cover Collaborations, Vol. 3",Boyce Avenue,2015-06-23,220178,0,0.475,0.883,0.475,0.245,1.87e-06,0.106,-9.452,0.0306,101.29,4
Oh-la-la,Acoustic In Love,Margareth,2013-05-13,167453,6,0.664,0.646,0.664,0.577,3.89e-05,0.0964,-4.548,0.028,110.021,4
Am I Wrong,"Cover Sessions, Vol. 1",Boyce Avenue,2014-12-12,228241,0,0.805,0.151,0.805,0.572,0.0,0.0624,-7.842,0.0377,120.007,4
Stay With Me,"Cover Sessions, Vol. 1",Boyce Avenue,2014-12-12,182159,0,0.406,0.843,0.406,0.285,0.0,0.106,-8.549,0.0408,126.554,5
Selalu Denganmu,Sedari Awal 03-12,Tompi,2012-04-30,363266,31,0.366,0.857,0.366,0.388,0.00068,0.128,-9.931,0.0386,157.145,4
I'm Not the Only One,"Cover Sessions, Vol. 2",Boyce Avenue,2016-02-12,241267,0,0.688,0.794,0.688,0.314,4.33e-06,0.108,-8.221,0.0264,81.978,4
Be More Barrio,"Cover Sessions, Vol. 2",Boyce Avenue,2016-02-12,192450,0,0.67,0.544,0.67,0.64,0.0,0.106,-6.474,0.035,98.1,4
Me & My Boyfriend - Acoustic Version,My Diary,Mocca,2002-04-20,287893,21,0.618,0.648,0.618,0.38,0.0,0.345,-10.374,0.0574,100.265,4
My Eyes,"Guardian (Original Television Soundtrack), Pt. 2",10cm,2016-12-10,157000,55,0.892,0.439,0.892,0.443,0.0,0.0866,-6.178,0.0379,107.983,4
Phonecert 폰서트,4.0,10cm,2017-09-02,197503,0,0.858,0.391,0.858,0.481,0.0,0.128,-3.649,0.104,107.96,4
Kau,Kau,Glenn Fredly,2017-09-12,249109,35,0.644,0.00286,0.644,0.608,0.00289,0.157,-8.425,0.0419,104.024,4
Only Girl (In The World) (feat. Alex Goot),"Cover Collaborations, Vol. 1",Boyce Avenue,2010-12-06,237849,0,0.719,0.648,0.719,0.56,0.0,0.0707,-9.538,0.0341,118.094,4
A Hard Day's Night,Jazz and Essentials,Various Artists,2011-05-24,173253,47,0.752,0.315,0.752,0.347,0.0,0.177,-8.595,0.0317,119.967,4
Roar,Pop Covers,Various Artists,2015-04-19,239507,0,0.628,0.811,0.628,0.364,0.0,0.0686,-6.255,0.0286,92.347,4
Adu Rayu,Adu Rayu,Yovie Widianto,2019-02-22,207700,0,0.558,0.598,0.558,0.374,0.0,0.108,-12.425,0.0471,99.953,4
Versace on the Floor,Ysabelle,Ysabelle Cuevas,2017-11-14,224000,29,0.459,0.821,0.459,0.151,0.0,0.158,-11.643,0.0678,87.849,4
Bye Babe,Bye Babe - SM STATION,CHEN,2017-11-03,198256,41,0.915,0.128,0.915,0.464,0.0,0.0785,-5.289,0.0428,106.034,4
Perfect,Love Playlist3 Part.1,10cm,2018-09-23,237224,41,0.429,0.881,0.429,0.264,0.0,0.166,-5.577,0.0321,134.358,4
Comes and Goes 와리가리,22,HYUKOH,2015-05-28,228320,0,0.748,0.103,0.748,0.721,0.0,0.108,-6.345,0.0408,119.892,4
Dahulu,Kuingin,The Groove,1999-08-04,232533,49,0.686,0.537,0.686,0.814,0.000538,0.0662,-7.765,0.0734,110.045,4
TOMBOY,23,HYUKOH,2017-04-24,241692,0,0.301,0.0961,0.301,0.431,1.05e-05,0.114,-5.314,0.0299,148.2,4
BOKE,BOKE,CIKI,2019-02-01,184510,46,0.802,0.569,0.802,0.488,1.55e-05,0.22,-5.523,0.0675,94.994,4
Let Us Go,"Crash Landing on You (Original Television Soundtrack), Pt. 10",Crush,2020-02-09,221909,0,0.421,0.843,0.421,0.378,0.0,0.11,-7.594,0.031,95.507,4
