name,album,artist,release_date,length,popularity,danceability,acousticness,danceability.1,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
You’re Losing Me (From The Vault),You're Losing Me (From The Vault),Taylor Swift,2023-11-29,277831,91,0.747,0.529,0.747,0.391,0.003,0.111,-13.767,0.052,102.984,4
Agora Hills,Scarlet,Doja Cat,2023-09-22,265360,93,0.75,0.228,0.75,0.674,8.91e-05,0.122,-6.128,0.097,123.026,4
Dance The Night - From Barbie The Album,Dance The Night (From Barbie The Album),Dua Lipa,2023-05-25,176579,93,0.671,0.0207,0.671,0.845,0.0,0.329,-4.93,0.048,110.056,4
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,Popular (Music from the HBO Original Series),The Weeknd,2023-06-02,215466,91,0.855,0.0569,0.855,0.678,3.69e-05,0.412,-6.276,0.189,99.029,4
exes,exes,Tate McRae,2023-11-17,159400,89,0.838,0.152,0.838,0.569,0.000136,0.102,-6.324,0.0621,136.965,4
Feather,emails i can’t send fwd:,Sabrina Carpenter,2023-03-17,185552,87,0.787,0.0893,0.787,0.686,0.0,0.0927,-4.37,0.0339,123.51,4
Seven (feat. Latto) (Explicit Ver.),Seven (feat. Latto),Jung Kook,2023-07-14,184400,92,0.802,0.311,0.802,0.832,0.0,0.0815,-4.107,0.0434,124.997,4
Stick Season,Stick Season,Noah Kahan,2022-10-14,182346,92,0.662,0.782,0.662,0.488,0.0,0.102,-6.894,0.0682,117.913,4
Si No Estás,Si No Estás,iñigo quintero,2022-09-23,184061,98,0.537,0.827,0.537,0.421,0.0,0.138,-8.72,0.0285,98.224,4
Lose Control,I've Tried Everything But Therapy (Part 1),Teddy Swims,2023-09-15,210688,84,0.561,0.199,0.561,0.604,1.9e-05,0.104,-4.409,0.0337,159.92,3
Kill Bill,SOS,SZA,2022-12-08,153946,92,0.644,0.0521,0.644,0.735,0.144,0.161,-5.747,0.0391,88.98,4
"What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,2023-07-13,222369,94,0.444,0.959,0.444,0.0911,1.05e-06,0.098,-17.665,0.0307,78.403,4
fukumean,a Gift & a Curse,Gunna,2023-06-16,125040,93,0.847,0.119,0.847,0.622,0.0,0.285,-6.747,0.0903,130.001,4
Chemical,Chemical,Post Malone,2023-04-14,184013,87,0.498,0.00136,0.498,0.897,0.0,0.118,-4.907,0.045,169.902,4
Is It Over Now? (Taylor's Version) (From The Vault),1989 (Taylor's Version),Taylor Swift,2023-10-26,229477,94,0.596,0.0504,0.596,0.658,0.0,0.127,-7.346,0.036,100.012,4
Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,The Hunger Games: The Ballad of Songbirds & Snakes (Music From & Inspired By),Olivia Rodrigo,2023-11-17,205483,83,0.518,0.855,0.518,0.368,4.9e-06,0.119,-7.76,0.0353,141.934,4
One Of Your Girls,Something To Give Each Other,Troye Sivan,2023-10-13,181481,87,0.629,0.0878,0.629,0.654,0.00655,0.22,-7.852,0.0584,93.034,4
Lil Boo Thang,Lil Boo Thang,Paul Russell,2023-08-18,114233,87,0.85,0.152,0.85,0.699,0.0,0.32,-3.292,0.0776,114.481,4
First Person Shooter (feat. J. Cole),For All The Dogs,Drake,2023-10-06,247444,91,0.47,0.0277,0.47,0.64,0.0,0.382,-7.779,0.32,163.92,4
I KNOW ?,UTOPIA,Travis Scott,2023-07-28,211582,91,0.927,0.0186,0.927,0.619,0.0,0.104,-4.441,0.0539,117.995,4
Daylight,Daylight,David Kushner,2023-04-14,212953,94,0.508,0.83,0.508,0.43,0.000441,0.093,-9.475,0.0335,130.09,4
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Idol Episode 4 (Music from the HBO Original Series),The Weeknd,2023-06-23,244684,93,0.522,0.0545,0.522,0.641,0.0,0.162,-6.287,0.0318,87.51,4
Super Shy,NewJeans 'Super Shy',NewJeans,2023-07-07,154666,90,0.776,0.18,0.776,0.817,3.44e-05,0.146,-6.018,0.0748,149.921,4
What It Is (Solo Version),What It Is (Versions),Doechii,2023-03-17,189824,86,0.74,0.061,0.74,0.758,1.44e-06,0.0967,-5.851,0.0921,171.925,4
Moonlight,Moonlight,Kali Uchis,2023-02-24,187557,87,0.639,0.511,0.639,0.723,0.0,0.167,-6.462,0.0532,136.872,4
Prada,Prada,cassö,2023-08-11,132359,94,0.638,0.001,0.638,0.717,1.79e-06,0.113,-5.804,0.0375,141.904,4
